{'epoch': 1, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 2, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 3, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 4, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 5, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 6, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 7, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 8, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 9, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 10, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 11, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 12, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 13, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 14, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 15, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 16, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 17, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 18, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 19, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 20, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 21, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 22, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 23, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 24, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 25, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 26, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 27, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 28, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 29, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 30, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 31, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 32, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 33, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 34, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 35, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 36, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 37, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 38, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 39, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 40, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 41, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 42, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 43, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 44, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
{'epoch': 45, 'cl_avg_loss': '0.0000', 'scl_avg_loss': '0.0000', 'joint_avg_loss': '0.0000'}
